,스킬이름,타입,위력,포켓몬
1,몸통박치기,노말,40,이상해씨
2,울음소리,노말,0,이상해씨
3,덩굴채찍,풀,45,이상해씨
4,성장,노말,0,이상해씨
5,씨뿌리기,풀,0,이상해씨
6,잎날가르기,풀,55,이상해씨
7,독가루,독,0,이상해씨
8,수면가루,풀,0,이상해씨
9,씨폭탄,풀,80,이상해씨
10,돌진,노말,90,이상해씨
11,달콤한향기,노말,0,이상해씨
12,광합성,풀,0,이상해씨
13,고민씨,풀,0,이상해씨
14,파워휩,풀,120,이상해씨
15,솔라빔,풀,120,이상해씨
16,몸통박치기,노말,40,이상해풀
17,울음소리,노말,0,이상해풀
18,덩굴채찍,풀,45,이상해풀
19,성장,노말,0,이상해풀
20,씨뿌리기,풀,0,이상해풀
21,잎날가르기,풀,55,이상해풀
22,독가루,독,0,이상해풀
23,수면가루,풀,0,이상해풀
24,씨폭탄,풀,80,이상해풀
25,돌진,노말,90,이상해풀
26,달콤한향기,노말,0,이상해풀
27,광합성,풀,0,이상해풀
28,고민씨,풀,0,이상해풀
29,파워휩,풀,120,이상해풀
30,솔라빔,풀,120,이상해풀
31,꽃잎댄스,풀,120,이상해꽃
32,몸통박치기,노말,40,이상해꽃
33,울음소리,노말,0,이상해꽃
34,덩굴채찍,풀,45,이상해꽃
35,성장,노말,0,이상해꽃
36,꽃보라,풀,90,이상해꽃
37,씨뿌리기,풀,0,이상해꽃
38,잎날가르기,풀,55,이상해꽃
39,독가루,독,0,이상해꽃
40,수면가루,풀,0,이상해꽃
41,씨폭탄,풀,80,이상해꽃
42,돌진,노말,90,이상해꽃
43,달콤한향기,노말,0,이상해꽃
44,광합성,풀,0,이상해꽃
45,고민씨,풀,0,이상해꽃
46,파워휩,풀,120,이상해꽃
47,솔라빔,풀,120,이상해꽃
48,할퀴기,노말,40,파이리
49,울음소리,노말,0,파이리
50,불꽃세례,불꽃,40,파이리
51,연막,노말,0,파이리
52,용의숨결,드래곤,60,파이리
53,불꽃엄니,불꽃,65,파이리
54,베어가르기,노말,70,파이리
55,화염방사,불꽃,90,파이리
56,겁나는얼굴,노말,0,파이리
57,회오리불꽃,불꽃,35,파이리
58,연옥,불꽃,100,파이리
59,플레어드라이브,불꽃,120,파이리
60,할퀴기,노말,40,리자드
61,울음소리,노말,0,리자드
62,불꽃세례,불꽃,40,리자드
63,연막,노말,0,리자드
64,용의숨결,드래곤,60,리자드
65,불꽃엄니,불꽃,65,리자드
66,베어가르기,노말,70,리자드
67,화염방사,불꽃,90,리자드
68,겁나는얼굴,노말,0,리자드
69,연옥,불꽃,100,리자드
70,플레어드라이브,불꽃,120,리자드
71,드래곤클로,드래곤,80,리자몽
72,열풍,불꽃,95,리자몽
73,할퀴기,노말,40,리자몽
74,울음소리,노말,0,리자몽
75,불꽃세례,불꽃,40,리자몽
76,연막,노말,0,리자몽
77,에어슬래시,비행,75,리자몽
78,용의숨결,드래곤,60,리자몽
79,불꽃엄니,불꽃,65,리자몽
80,베어가르기,노말,70,리자몽
81,화염방사,불꽃,90,리자몽
82,겁나는얼굴,노말,0,리자몽
83,회오리불꽃,불꽃,35,리자몽
84,연옥,불꽃,100,리자몽
85,플레어드라이브,불꽃,120,리자몽
86,몸통박치기,노말,40,꼬부기
87,꼬리흔들기,노말,0,꼬부기
88,물대포,물,40,꼬부기
89,껍질에숨기,물,0,꼬부기
90,고속스핀,노말,50,꼬부기
91,물기,악,60,꼬부기
92,물의파동,물,60,꼬부기
93,방어,노말,0,꼬부기
94,비바라기,물,0,꼬부기
95,아쿠아테일,물,90,꼬부기
96,껍질깨기,노말,0,꼬부기
97,철벽,강철,0,꼬부기
98,하이드로펌프,물,110,꼬부기
99,웨이브태클,물,120,꼬부기
100,몸통박치기,노말,40,어니부기
101,꼬리흔들기,노말,0,어니부기
102,물대포,물,40,어니부기
103,껍질에숨기,물,0,어니부기
104,고속스핀,노말,50,어니부기
105,물기,악,60,어니부기
106,물의파동,물,60,어니부기
107,방어,노말,0,어니부기
108,비바라기,물,0,어니부기
109,아쿠아테일,물,90,어니부기
110,껍질깨기,노말,0,어니부기
111,철벽,강철,0,어니부기
112,하이드로펌프,물,110,어니부기
113,웨이브태클,물,120,어니부기
114,몸통박치기,노말,40,거북왕
115,꼬리흔들기,노말,0,거북왕
116,물대포,물,40,거북왕
117,껍질에숨기,물,0,거북왕
118,러스터캐논,강철,80,거북왕
119,고속스핀,노말,50,거북왕
120,물기,악,60,거북왕
121,물의파동,물,60,거북왕
122,방어,노말,0,거북왕
123,비바라기,물,0,거북왕
124,아쿠아테일,물,90,거북왕
125,껍질깨기,노말,0,거북왕
126,철벽,강철,0,거북왕
127,하이드로펌프,물,110,거북왕
128,웨이브태클,물,120,거북왕
129,몸통박치기,노말,40,캐터피
130,실뿜기,벌레,0,캐터피
131,벌레먹음,벌레,60,캐터피
132,단단해지기,노말,0,단데기
133,바람일으키기,비행,40,버터플
134,단단해지기,노말,0,버터플
135,몸통박치기,노말,40,버터플
136,실뿜기,벌레,0,버터플
137,벌레먹음,벌레,60,버터플
138,초음파,노말,0,버터플
139,염동력,에스퍼,50,버터플
140,독가루,독,0,버터플
141,저리가루,풀,0,버터플
142,수면가루,풀,0,버터플
143,환상빔,에스퍼,65,버터플
144,날려버리기,노말,0,버터플
145,에어슬래시,비행,75,버터플
146,신비의부적,노말,0,버터플
147,벌레의야단법석,벌레,90,버터플
148,순풍,비행,0,버터플
149,분노가루,벌레,0,버터플
150,나비춤,벌레,0,버터플
151,독침,독,15,뿔충이
152,실뿜기,벌레,0,뿔충이
153,벌레먹음,벌레,60,뿔충이
154,단단해지기,노말,0,딱충이
155,단단해지기,노말,0,딱충이
156,마구찌르기,노말,15,독침붕
157,단단해지기,노말,0,독침붕
158,독침,독,15,독침붕
159,실뿜기,벌레,0,독침붕
160,벌레먹음,벌레,60,독침붕
161,마구찌르기,노말,15,독침붕
162,예민해지기,노말,0,독침붕
163,연속자르기,벌레,40,독침붕
164,독침,독,15,독침붕
165,기충전,노말,0,독침붕
166,베놈쇼크,독,65,독침붕
167,승부굳히기,악,60,독침붕
168,독압정,독,0,독침붕
169,바늘미사일,벌레,25,독침붕
170,독찌르기,독,80,독침붕
171,고속이동,에스퍼,0,독침붕
172,죽기살기,노말,0,독침붕
173,마지막일침,벌레,50,독침붕
174,몸통박치기,노말,40,구구
175,모래뿌리기,땅,0,구구
176,바람일으키기,비행,40,구구
177,전광석화,노말,40,구구
178,날려버리기,노말,0,구구
179,회오리,드래곤,40,구구
180,깃털댄스,비행,0,구구
181,고속이동,에스퍼,0,구구
182,날개치기,비행,60,구구
183,날개쉬기,비행,0,구구
184,순풍,비행,0,구구
185,제비반환,비행,60,구구
186,에어슬래시,비행,75,구구
187,폭풍,비행,110,구구
188,몸통박치기,노말,40,피죤
189,모래뿌리기,땅,0,피죤
190,바람일으키기,비행,40,피죤
191,모래뿌리기,땅,0,피죤
192,바람일으키기,비행,40,피죤
193,전광석화,노말,40,피죤
194,날려버리기,노말,0,피죤
195,회오리,드래곤,40,피죤
196,깃털댄스,비행,0,피죤
197,고속이동,에스퍼,0,피죤
198,날개치기,비행,60,피죤
199,날개쉬기,비행,0,피죤
200,순풍,비행,0,피죤
201,제비반환,비행,60,피죤
202,에어슬래시,비행,75,피죤
203,폭풍,비행,110,피죤
204,폭풍,비행,110,피죤투
205,몸통박치기,노말,40,피죤투
206,모래뿌리기,땅,0,피죤투
207,바람일으키기,비행,40,피죤투
208,전광석화,노말,40,피죤투
209,모래뿌리기,땅,0,피죤투
210,바람일으키기,비행,40,피죤투
211,전광석화,노말,40,피죤투
212,날려버리기,노말,0,피죤투
213,회오리,드래곤,40,피죤투
214,깃털댄스,비행,0,피죤투
215,고속이동,에스퍼,0,피죤투
216,날개치기,비행,60,피죤투
217,날개쉬기,비행,0,피죤투
218,순풍,비행,0,피죤투
219,제비반환,비행,60,피죤투
220,에어슬래시,비행,75,피죤투
221,폭풍,비행,110,피죤투
222,몸통박치기,노말,40,꼬렛
223,꼬리흔들기,노말,0,꼬렛
224,전광석화,노말,40,꼬렛
225,기충전,노말,0,꼬렛
226,물기,악,60,꼬렛
227,예민해지기,노말,0,꼬렛
228,필살앞니,노말,80,꼬렛
229,승부굳히기,악,60,꼬렛
230,깨물어부수기,악,80,꼬렛
231,기습,악,70,꼬렛
232,분노의앞니,노말,0,꼬렛
233,이판사판태클,노말,120,꼬렛
234,죽기살기,노말,0,꼬렛
235,겁나는얼굴,노말,0,레트라
236,칼춤,노말,0,레트라
237,몸통박치기,노말,40,레트라
238,꼬리흔들기,노말,0,레트라
239,전광석화,노말,40,레트라
240,기충전,노말,0,레트라
241,겁나는얼굴,노말,0,레트라
242,전광석화,노말,40,레트라
243,기충전,노말,0,레트라
244,물기,악,60,레트라
245,예민해지기,노말,0,레트라
246,돌진,노말,90,레트라
247,승부굳히기,악,60,레트라
248,깨물어부수기,악,80,레트라
249,기습,악,70,레트라
250,분노의앞니,노말,0,레트라
251,이판사판태클,노말,120,레트라
252,죽기살기,노말,0,레트라
253,쪼기,비행,35,깨비참
254,울음소리,노말,0,깨비참
255,째려보기,노말,0,깨비참
256,승부굳히기,악,60,깨비참
