,스킬이름,타입,위력,포켓몬
1,몸통박치기,노말,40,이상해씨
2,울음소리,노말,0,이상해씨
3,덩굴채찍,풀,45,이상해씨
4,성장,노말,0,이상해씨
5,씨뿌리기,풀,0,이상해씨
6,잎날가르기,풀,55,이상해씨
7,독가루,독,0,이상해씨
8,수면가루,풀,0,이상해씨
9,씨폭탄,풀,80,이상해씨
10,돌진,노말,90,이상해씨
11,달콤한향기,노말,0,이상해씨
12,광합성,풀,0,이상해씨
13,고민씨,풀,0,이상해씨
14,파워휩,풀,120,이상해씨
15,솔라빔,풀,120,이상해씨
16,몸통박치기,노말,40,이상해풀
17,울음소리,노말,0,이상해풀
18,덩굴채찍,풀,45,이상해풀
19,성장,노말,0,이상해풀
20,씨뿌리기,풀,0,이상해풀
21,잎날가르기,풀,55,이상해풀
22,독가루,독,0,이상해풀
23,수면가루,풀,0,이상해풀
24,씨폭탄,풀,80,이상해풀
25,돌진,노말,90,이상해풀
26,달콤한향기,노말,0,이상해풀
27,광합성,풀,0,이상해풀
28,고민씨,풀,0,이상해풀
29,파워휩,풀,120,이상해풀
30,솔라빔,풀,120,이상해풀
31,꽃잎댄스,풀,120,이상해꽃
32,몸통박치기,노말,40,이상해꽃
33,울음소리,노말,0,이상해꽃
34,덩굴채찍,풀,45,이상해꽃
35,성장,노말,0,이상해꽃
36,꽃보라,풀,90,이상해꽃
37,씨뿌리기,풀,0,이상해꽃
38,잎날가르기,풀,55,이상해꽃
39,독가루,독,0,이상해꽃
40,수면가루,풀,0,이상해꽃
41,씨폭탄,풀,80,이상해꽃
42,돌진,노말,90,이상해꽃
43,달콤한향기,노말,0,이상해꽃
44,광합성,풀,0,이상해꽃
45,고민씨,풀,0,이상해꽃
46,파워휩,풀,120,이상해꽃
47,솔라빔,풀,120,이상해꽃
48,할퀴기,노말,40,파이리
49,뾰족한,날카로운,상대를,파이리
50,울음소리,노말,0,파이리
51,울음소리를,들려주고,끌어,파이리
52,불꽃세례,불꽃,40,파이리
53,불꽃을,상대에게,공격한다.,파이리
54,연막,노말,0,파이리
55,먹물을,내뿜어,명중률을,파이리
56,용의숨결,드래곤,60,파이리
57,숨결을,상대에게,공격한다.,파이리
58,불꽃엄니,불꽃,65,파이리
59,두른,이빨로,상대를,파이리
60,베어가르기,노말,70,파이리
61,낫,등으로,베어,파이리
62,화염방사,불꽃,90,파이리
63,불꽃을,상대에게,공격한다.,파이리
64,겁나는얼굴,노말,0,파이리
65,얼굴로,노려보고,상대의,파이리
66,회오리불꽃,불꽃,35,파이리
67,소용돌이치는,불꽃,4-5턴,파이리
68,연옥,불꽃,100,파이리
69,불꽃으로,상대를,공격한다.,파이리
70,플레어드라이브,불꽃,120,파이리
71,두르고,돌진한다.,상당한,파이리
72,할퀴기,노말,40,리자드
73,뾰족한,날카로운,상대를,리자드
74,울음소리,노말,0,리자드
75,울음소리를,들려주고,끌어,리자드
76,불꽃세례,불꽃,40,리자드
77,불꽃을,상대에게,공격한다.,리자드
78,연막,노말,0,리자드
79,먹물을,내뿜어,명중률을,리자드
80,용의숨결,드래곤,60,리자드
81,숨결을,상대에게,공격한다.,리자드
82,불꽃엄니,불꽃,65,리자드
83,두른,이빨로,상대를,리자드
84,베어가르기,노말,70,리자드
85,낫,등으로,베어,리자드
86,화염방사,불꽃,90,리자드
87,불꽃을,상대에게,공격한다.,리자드
88,겁나는얼굴,노말,0,리자드
89,얼굴로,노려보고,상대의,리자드
90,연옥,불꽃,100,리자드
91,불꽃으로,상대를,공격한다.,리자드
92,플레어드라이브,불꽃,120,리자드
93,두르고,돌진한다.,상당한,리자드
94,드래곤클로,드래곤,80,리자몽
95,뾰족한,거대한,상대를,리자몽
96,열풍,불꽃,95,리자몽
97,숨결을,상대에게,공격한다.,리자몽
98,할퀴기,노말,40,리자몽
99,뾰족한,날카로운,상대를,리자몽
100,울음소리,노말,0,리자몽
101,울음소리를,들려주고,끌어,리자몽
102,불꽃세례,불꽃,40,리자몽
103,불꽃을,상대에게,공격한다.,리자몽
104,연막,노말,0,리자몽
105,먹물을,내뿜어,명중률을,리자몽
106,에어슬래시,비행,75,리자몽
107,베어,가르는,칼날로,리자몽
108,용의숨결,드래곤,60,리자몽
109,숨결을,상대에게,공격한다.,리자몽
110,불꽃엄니,불꽃,65,리자몽
111,두른,이빨로,상대를,리자몽
112,베어가르기,노말,70,리자몽
113,낫,등으로,베어,리자몽
114,화염방사,불꽃,90,리자몽
115,불꽃을,상대에게,공격한다.,리자몽
116,겁나는얼굴,노말,0,리자몽
117,얼굴로,노려보고,상대의,리자몽
118,회오리불꽃,불꽃,35,리자몽
119,소용돌이치는,불꽃,4-5턴,리자몽
120,연옥,불꽃,100,리자몽
121,불꽃으로,상대를,공격한다.,리자몽
122,플레어드라이브,불꽃,120,리자몽
123,두르고,돌진한다.,상당한,리자몽
124,몸통박치기,노말,40,꼬부기
125,꼬리흔들기,노말,0,꼬부기
126,물대포,물,40,꼬부기
127,껍질에숨기,물,0,꼬부기
128,고속스핀,노말,50,꼬부기
129,물기,악,60,꼬부기
130,물의파동,물,60,꼬부기
131,방어,노말,0,꼬부기
132,비바라기,물,0,꼬부기
133,아쿠아테일,물,90,꼬부기
134,껍질깨기,노말,0,꼬부기
135,철벽,강철,0,꼬부기
136,하이드로펌프,물,110,꼬부기
137,웨이브태클,물,120,꼬부기
138,몸통박치기,노말,40,어니부기
139,꼬리흔들기,노말,0,어니부기
140,물대포,물,40,어니부기
141,껍질에숨기,물,0,어니부기
142,고속스핀,노말,50,어니부기
143,물기,악,60,어니부기
144,물의파동,물,60,어니부기
145,방어,노말,0,어니부기
146,비바라기,물,0,어니부기
147,아쿠아테일,물,90,어니부기
148,껍질깨기,노말,0,어니부기
149,철벽,강철,0,어니부기
150,하이드로펌프,물,110,어니부기
151,웨이브태클,물,120,어니부기
152,몸통박치기,노말,40,거북왕
153,꼬리흔들기,노말,0,거북왕
154,물대포,물,40,거북왕
155,껍질에숨기,물,0,거북왕
156,러스터캐논,강철,80,거북왕
157,고속스핀,노말,50,거북왕
158,물기,악,60,거북왕
159,물의파동,물,60,거북왕
160,방어,노말,0,거북왕
161,비바라기,물,0,거북왕
162,아쿠아테일,물,90,거북왕
163,껍질깨기,노말,0,거북왕
164,철벽,강철,0,거북왕
165,하이드로펌프,물,110,거북왕
166,웨이브태클,물,120,거북왕
167,몸통박치기,노말,40,캐터피
168,실뿜기,벌레,0,캐터피
169,벌레먹음,벌레,60,캐터피
170,단단해지기,노말,0,단데기
171,바람일으키기,비행,40,버터플
172,단단해지기,노말,0,버터플
173,몸통박치기,노말,40,버터플
174,실뿜기,벌레,0,버터플
175,벌레먹음,벌레,60,버터플
176,초음파,노말,0,버터플
177,염동력,에스퍼,50,버터플
178,독가루,독,0,버터플
179,저리가루,풀,0,버터플
180,수면가루,풀,0,버터플
181,환상빔,에스퍼,65,버터플
182,날려버리기,노말,0,버터플
183,에어슬래시,비행,75,버터플
184,신비의부적,노말,0,버터플
185,벌레의야단법석,벌레,90,버터플
186,순풍,비행,0,버터플
187,분노가루,벌레,0,버터플
188,나비춤,벌레,0,버터플
189,독침,독,15,뿔충이
190,있는,침을,꿰찔러서,뿔충이
191,실뿜기,벌레,0,뿔충이
192,뿜어낸,실을,상대의,뿔충이
193,벌레먹음,벌레,60,뿔충이
194,공격한다.,상대가,지니고,뿔충이
195,단단해지기,노말,0,딱충이
196,힘을,담아,단단하게,딱충이
197,단단해지기,노말,0,딱충이
198,힘을,담아,단단하게,딱충이
199,마구찌르기,노말,15,독침붕
200,부리로,상대를,공격한다.,독침붕
201,단단해지기,노말,0,독침붕
202,힘을,담아,단단하게,독침붕
203,독침,독,15,독침붕
204,있는,침을,꿰찔러서,독침붕
205,실뿜기,벌레,0,독침붕
206,뿜어낸,실을,상대의,독침붕
207,벌레먹음,벌레,60,독침붕
208,공격한다.,상대가,지니고,독침붕
209,마구찌르기,노말,15,독침붕
210,부리로,상대를,공격한다.,독침붕
211,예민해지기,노말,0,독침붕
212,집중해서,다음,반드시,독침붕
213,연속자르기,벌레,40,독침붕
214,발톱,등으로,베어,독침붕
215,독침,독,15,독침붕
216,있는,침을,꿰찔러서,독침붕
217,기충전,노말,0,독침붕
218,숨을,들이마셔,넣는다.,독침붕
219,베놈쇼크,독,65,독침붕
220,독액을,뿌린다.,상태인,독침붕
221,승부굳히기,악,60,독침붕
222,턴에,상대가,데미지를,독침붕
223,독압정,독,0,독침붕
224,발밑에,독압정을,교체로,독침붕
225,바늘미사일,벌레,25,독침붕
226,침을,상대에게,공격한다.,독침붕
227,독찌르기,독,80,독침붕
228,물든,촉수나,상대를,독침붕
229,고속이동,에스퍼,0,독침붕
230,빼고,몸을,해서,독침붕
231,죽기살기,노말,0,독침붕
232,HP가,자신의,같아지도록,독침붕
233,마지막일침,벌레,50,독침붕
234,기술을,사용하여,쓰러뜨리면,독침붕
235,몸통박치기,노말,40,구구
236,모래뿌리기,땅,0,구구
237,바람일으키기,비행,40,구구
238,전광석화,노말,40,구구
239,날려버리기,노말,0,구구
240,회오리,드래곤,40,구구
241,깃털댄스,비행,0,구구
242,고속이동,에스퍼,0,구구
243,날개치기,비행,60,구구
