,체력,공격,방어,스피드,특수공격,특수방어,점수,승률,포켓몬_번호,사용한_기술의_위력,결과
1,29,48,16,39,38,38,14.0,0.0,347,45,0
2,64,49,14,26,24,28,70.0,32.0,565,34,0
3,27,36,21,26,16,20,77.0,29.0,408,39,0
4,39,41,38,39,37,17,57.0,33.0,585,0,0
5,69,33,31,26,26,20,96.0,41.0,840,40,0
6,89,46,17,19,28,29,76.0,41.0,412,27,0
7,79,38,39,28,32,28,75.0,34.0,845,6,0
8,86,47,18,23,11,39,29.0,24.0,178,27,0
9,35,38,31,24,24,31,50.0,67.0,1021,78,1
10,32,47,28,20,38,23,34.0,0.0,172,9,0
11,95,27,32,29,10,10,57.0,39.0,817,33,0
12,37,42,18,14,29,11,23.0,83.0,488,72,1
13,70,27,24,24,38,10,69.0,67.0,779,51,1
14,87,41,17,32,13,17,90.0,65.0,856,66,1
15,96,49,27,18,19,25,55.0,52.0,527,83,1
16,87,30,26,21,28,11,38.0,17.0,294,1,0
17,26,47,25,39,12,15,52.0,16.0,650,33,0
18,60,48,28,11,14,28,50.0,78.0,13,84,1
19,55,43,38,13,24,38,91.0,98.0,110,75,1
20,60,31,36,39,33,13,41.0,35.0,175,29,0
21,34,24,19,11,26,23,42.0,41.0,898,10,0
22,67,22,36,25,18,16,43.0,35.0,907,7,0
23,27,40,18,33,27,20,64.0,2.0,467,17,0
24,25,26,28,13,34,29,35.0,49.0,123,21,0
25,22,34,31,21,12,13,28.0,27.0,133,6,0
26,63,46,10,33,38,39,75.0,48.0,419,16,0
27,29,50,35,11,24,36,73.0,9.0,274,19,0
28,20,36,29,19,21,36,100.0,19.0,536,29,0
29,43,38,14,37,35,14,7.0,34.0,282,20,0
30,24,36,23,15,29,19,82.0,100.0,639,75,1
31,23,46,40,18,26,19,45.0,63.0,48,80,1
32,66,50,29,34,14,29,73.0,86.0,892,74,1
33,36,46,33,34,16,21,9.0,77.0,788,50,1
34,66,21,13,30,26,25,34.0,35.0,402,29,0
35,88,35,13,20,13,14,8.0,56.0,683,84,1
36,86,33,31,35,27,37,80.0,92.0,612,96,1
37,76,23,28,19,30,24,53.0,29.0,638,31,0
38,99,32,11,22,17,28,71.0,44.0,386,1,0
39,93,47,17,38,30,39,91.0,75.0,271,91,1
40,73,27,22,40,31,17,12.0,67.0,848,100,1
41,47,21,30,37,20,15,1.0,83.0,140,67,1
42,35,39,29,36,36,37,36.0,59.0,402,69,1
43,96,43,16,16,37,34,87.0,77.0,246,57,1
44,73,43,32,32,28,38,72.0,42.0,764,13,0
45,100,46,21,10,30,27,1.0,95.0,255,51,1
46,59,24,14,15,30,12,16.0,37.0,945,2,0
47,96,38,34,35,19,26,9.0,98.0,756,61,1
48,63,23,29,12,23,14,95.0,21.0,255,22,0
49,86,38,26,36,29,25,21.0,47.0,497,48,0
50,94,33,14,10,22,14,47.0,23.0,961,39,0
51,99,40,11,37,10,12,30.0,15.0,227,36,0
52,58,46,36,27,17,27,0.0,1.0,255,16,0
53,94,35,31,32,31,15,22.0,2.0,648,35,0
54,82,29,17,14,26,19,31.0,88.0,604,89,1
55,25,38,39,27,35,37,19.0,13.0,988,25,0
56,58,38,40,37,18,35,33.0,84.0,739,99,1
57,26,37,31,29,11,27,12.0,88.0,696,76,1
58,22,24,22,12,37,33,25.0,73.0,928,93,1
59,90,50,26,38,15,40,3.0,71.0,36,89,1
60,27,28,18,16,20,26,48.0,35.0,737,36,0
61,75,38,26,33,32,28,54.0,64.0,271,100,1
62,84,30,20,30,21,30,86.0,83.0,352,97,1
63,25,37,27,29,26,29,94.0,87.0,934,94,1
64,33,29,39,18,20,39,26.0,37.0,985,14,0
65,20,42,38,26,11,30,40.0,31.0,966,39,0
66,71,29,36,39,30,11,5.0,35.0,732,28,0
67,94,44,28,34,37,29,78.0,68.0,10,70,1
68,53,23,23,17,35,21,77.0,40.0,318,28,0
69,99,23,18,27,14,12,55.0,81.0,993,72,1
70,48,41,16,10,33,40,5.0,15.0,906,35,0
