지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),적설(cm),전운량(10분위),지면온도(°C)
112,인천,2024-01-01 01:00,.6,,1.1,92,1018.1,,0,-.1
112,인천,2024-01-01 02:00,.3,,1.8,93,1018.5,,3,-.1
112,인천,2024-01-01 03:00,.5,,.7,93,1019,,8,-.1
112,인천,2024-01-01 04:00,.4,,1.5,94,1019.2,,1,-.2
112,인천,2024-01-01 05:00,.8,,1.3,95,1019.4,,8,-.1
112,인천,2024-01-01 06:00,.7,,2.3,95,1019.4,,0,-.2
112,인천,2024-01-01 07:00,.4,,1,95,1020.1,,0,-.2
112,인천,2024-01-01 08:00,.4,,.5,95,1020.5,,3,-.2
112,인천,2024-01-01 09:00,1.5,,.9,96,1020.5,,0,-.1
112,인천,2024-01-01 10:00,1.8,,.7,93,1021.1,,0,0
112,인천,2024-01-01 11:00,2.8,,.6,92,1020.9,,0,0
112,인천,2024-01-01 12:00,4.6,,1.2,85,1020.3,,9,.1
112,인천,2024-01-01 13:00,5,,2.2,81,1019.2,,9,.4
112,인천,2024-01-01 14:00,5,,1.9,79,1018.5,,9,1.8
112,인천,2024-01-01 15:00,4.9,,1.9,76,1018.2,,9,2.1
112,인천,2024-01-01 16:00,4.5,,2.2,78,1018,,9,1.6
112,인천,2024-01-01 17:00,4.2,,1.1,78,1017.7,,9,1.1
112,인천,2024-01-01 18:00,4,,1.4,78,1017.6,,9,.9
112,인천,2024-01-01 19:00,3.8,,1.6,79,1017.3,,9,.7
112,인천,2024-01-01 20:00,3.8,,1.6,81,1017.4,,9,.7
112,인천,2024-01-01 21:00,3.6,,1.4,85,1017.2,,9,.7
112,인천,2024-01-01 22:00,3.5,,1.2,86,1017.3,,9,.7
112,인천,2024-01-01 23:00,3.3,,2.1,88,1016.9,,10,.8
112,인천,2024-01-02 00:00,3.1,0,1.8,89,1016.8,,9,.7
112,인천,2024-01-02 01:00,2.9,,1.1,86,1016.4,,9,.7
112,인천,2024-01-02 02:00,2.8,,2.5,83,1016.1,,9,.7
112,인천,2024-01-02 03:00,2.4,,1.9,85,1016.1,,8,.2
112,인천,2024-01-02 04:00,2.3,,1.4,84,1015.7,,8,.1
112,인천,2024-01-02 05:00,2.2,,1.5,86,1015.1,,9,.1
112,인천,2024-01-02 06:00,1.9,,.8,84,1014.6,,8,0
112,인천,2024-01-02 07:00,2,,1.7,85,1015.1,,8,.3
112,인천,2024-01-02 08:00,1.8,,1.5,82,1014.9,,7,.2
112,인천,2024-01-02 09:00,1.9,,1,79,1015.1,,9,.6
112,인천,2024-01-02 10:00,2.5,,1.9,76,1015.4,,9,1.7
112,인천,2024-01-02 11:00,2.7,,2,70,1015,,9,2.8
112,인천,2024-01-02 12:00,3.1,,1.9,70,1014.5,,9,3.9
112,인천,2024-01-02 13:00,3.7,,3.3,66,1014.1,,8,6.4
112,인천,2024-01-02 14:00,3.6,,3.1,64,1013.5,,9,5.1
112,인천,2024-01-02 15:00,3.9,,2,60,1013.2,,9,5.4
112,인천,2024-01-02 16:00,3.6,,2,62,1013.2,,9,4.2
112,인천,2024-01-02 17:00,3.2,,1.5,65,1013,,9,3.2
112,인천,2024-01-02 18:00,2.9,,2.3,68,1013,,9,2.3
112,인천,2024-01-02 19:00,2.9,,1.3,69,1012.9,,10,1.9
112,인천,2024-01-02 20:00,2.7,,1.6,68,1013,,10,1.5
112,인천,2024-01-02 21:00,2.5,,.8,70,1013.1,,9,1.3
112,인천,2024-01-02 22:00,2.5,,.7,71,1012.7,,10,1.1
112,인천,2024-01-02 23:00,2.4,,1.9,73,1012.5,,10,1
112,인천,2024-01-03 00:00,2.2,,1.8,75,1012.2,,9,.8
112,인천,2024-01-03 01:00,2.2,,1.6,75,1011.9,,10,1.1
112,인천,2024-01-03 02:00,2.3,,1.2,76,1011.4,,10,1.2
112,인천,2024-01-03 03:00,2.3,,1.6,78,1011.4,,9,1.2
112,인천,2024-01-03 04:00,2.2,,.1,77,1010.9,,10,1.3
112,인천,2024-01-03 05:00,2.2,,.5,77,1010.5,,10,1.3
112,인천,2024-01-03 06:00,2.3,0,1,79,1010.2,,10,1.3
112,인천,2024-01-03 07:00,2.4,,1.4,81,1010.3,,10,1.4
112,인천,2024-01-03 08:00,2.3,,1.6,85,1010.5,,10,1.5
112,인천,2024-01-03 09:00,2.2,0,0,85,1010.7,,10,1.6
112,인천,2024-01-03 10:00,2.7,,2,86,1010.6,,10,2.7
112,인천,2024-01-03 11:00,3.4,,1.9,85,1010.2,,9,4.2
112,인천,2024-01-03 12:00,4.4,0,1.8,81,1009.9,,9,6.8
112,인천,2024-01-03 13:00,3.8,,2.3,81,1009.4,,10,5.2
112,인천,2024-01-03 14:00,3.3,,4.4,86,1009.3,,10,4.8
112,인천,2024-01-03 15:00,3.1,0,3.1,84,1009.5,,9,5.3
112,인천,2024-01-03 16:00,3.2,,3.2,77,1010,,2,5.4
112,인천,2024-01-03 17:00,2.8,,2.5,80,1010.6,,1,3.5
112,인천,2024-01-03 18:00,1.9,,2.8,84,1011.5,,1,1.9
112,인천,2024-01-03 19:00,1.6,,3.4,76,1012.1,,0,1.1
112,인천,2024-01-03 20:00,1,,2.9,69,1012.6,,0,.4
112,인천,2024-01-03 21:00,.6,,2.7,71,1013.1,,0,.3
112,인천,2024-01-03 22:00,.3,,2.7,69,1013.6,,0,.2
112,인천,2024-01-03 23:00,.1,,4.2,62,1013.6,,0,.1
112,인천,2024-01-04 00:00,-.4,,2.4,66,1013.9,,0,.1
112,인천,2024-01-04 01:00,-.6,,2.1,66,1014.1,,0,0
112,인천,2024-01-04 02:00,-.9,,2.1,68,1014.1,,0,-.1
112,인천,2024-01-04 03:00,-1,,1.7,71,1014.2,,0,.1
112,인천,2024-01-04 04:00,-1.3,,1.2,71,1013.8,,0,-.2
112,인천,2024-01-04 05:00,-1.8,,.8,72,1013.9,,0,-.4
112,인천,2024-01-04 06:00,-1.9,,1.3,70,1014.3,,0,-.2
112,인천,2024-01-04 07:00,-1.6,,1.7,72,1014.5,,8,.2
112,인천,2024-01-04 08:00,-1,,2.5,69,1014.9,,9,-.4
112,인천,2024-01-04 09:00,-.5,,2.3,69,1015.1,,8,-.1
112,인천,2024-01-04 10:00,.5,,2.9,69,1015.5,,8,0
112,인천,2024-01-04 11:00,2.8,,2.3,63,1015.4,,1,.2
112,인천,2024-01-04 12:00,4.1,,3.4,60,1014.7,,7,.6
112,인천,2024-01-04 13:00,3.9,,3.7,60,1013.9,,7,3.5
112,인천,2024-01-04 14:00,5,,3.9,60,1013.1,,4,6.1
112,인천,2024-01-04 15:00,4.6,,3.9,63,1012.4,,8,5
112,인천,2024-01-04 16:00,4.6,,4.2,65,1012.2,,7,4.3
112,인천,2024-01-04 17:00,4.7,,3.6,68,1012.5,,9,3.5
112,인천,2024-01-04 18:00,4.6,,4.5,68,1012,,8,2.6
112,인천,2024-01-04 19:00,4.5,,3.9,71,1011.8,,9,2.4
112,인천,2024-01-04 20:00,4.4,,4,72,1011.8,,7,2.2
112,인천,2024-01-04 21:00,4.5,,4.5,72,1011.5,,9,2.2
112,인천,2024-01-04 22:00,4.3,,3.7,73,1011.1,,8,2.1
112,인천,2024-01-04 23:00,4,,5.1,73,1011,,7,1.5
112,인천,2024-01-05 00:00,3.8,,3.7,75,1011.2,,7,1.5
112,인천,2024-01-05 01:00,4.1,,4.3,77,1010.9,,7,1.7
112,인천,2024-01-05 02:00,4.3,,4,78,1010.9,,8,2.1
112,인천,2024-01-05 03:00,4.5,,3.6,81,1010.8,,8,2.2
112,인천,2024-01-05 04:00,4.8,,3.9,83,1010.6,,9,2.6
112,인천,2024-01-05 05:00,5,,2.5,84,1010.5,,9,2.8
112,인천,2024-01-05 06:00,6,0,3.1,87,1010.8,,9,3.1
112,인천,2024-01-05 07:00,5.6,,3.3,87,1011.4,,7,2.6
112,인천,2024-01-05 08:00,5.6,,3.4,87,1011.7,,9,2.9
112,인천,2024-01-05 09:00,5.8,,3.5,86,1012.2,,9,3.4
112,인천,2024-01-05 10:00,5.9,,3.2,81,1012.5,,2,3.9
112,인천,2024-01-05 11:00,6.9,,2.3,75,1012.9,,0,5.6
112,인천,2024-01-05 12:00,7.3,,4.2,69,1012.4,,0,7.4
112,인천,2024-01-05 13:00,7.6,,3.8,68,1011.6,,0,8.9
112,인천,2024-01-05 14:00,7.4,,3.7,67,1011.1,,1,9.5
112,인천,2024-01-05 15:00,7,,3.6,68,1011.1,,1,8.9
112,인천,2024-01-05 16:00,6.3,,3.4,71,1011.2,,1,7.6
112,인천,2024-01-05 17:00,5.3,,3,70,1011.4,,0,5.4
112,인천,2024-01-05 18:00,4.3,,3,78,1011.6,,0,4
112,인천,2024-01-05 19:00,3.9,,3.4,81,1011.7,,0,3.1
112,인천,2024-01-05 20:00,3.6,,4.2,80,1012.1,,0,2.6
112,인천,2024-01-05 21:00,3,,2,70,1012.5,,0,2
112,인천,2024-01-05 22:00,1.9,,3.3,74,1012.7,,0,1.4
112,인천,2024-01-05 23:00,1,,3,69,1012.9,,0,.9
112,인천,2024-01-06 00:00,.3,,2,78,1012.9,,0,.6
112,인천,2024-01-06 01:00,-.2,,1.8,82,1013,,0,.5
112,인천,2024-01-06 02:00,-.7,,2.2,80,1013.2,,0,.4
112,인천,2024-01-06 03:00,-.9,,2.6,83,1013.6,,0,.4
112,인천,2024-01-06 04:00,-1.3,,1.5,81,1013.5,,0,.4
112,인천,2024-01-06 05:00,-1.5,,2.3,81,1013.5,,0,.3
112,인천,2024-01-06 06:00,-1.7,,2.7,78,1013.7,,0,.2
112,인천,2024-01-06 07:00,-2,,2.3,74,1014.1,,0,.4
112,인천,2024-01-06 08:00,-2.1,,1.8,70,1014.4,,0,0
112,인천,2024-01-06 09:00,-1.5,,1.4,70,1015,,0,.1
112,인천,2024-01-06 10:00,-.3,,1.1,62,1015.1,,0,.1
112,인천,2024-01-06 11:00,.6,,2.2,51,1014.7,,0,.2
112,인천,2024-01-06 12:00,1.2,,2.8,46,1014.4,,0,2.4
112,인천,2024-01-06 13:00,3.1,,1.9,49,1014,,0,5.8
112,인천,2024-01-06 14:00,3.2,,2.2,42,1013.1,,0,7.3
112,인천,2024-01-06 15:00,4.1,,3.5,44,1013.1,,0,7.4
112,인천,2024-01-06 16:00,3.4,,3,46,1012.9,,0,5.6
112,인천,2024-01-06 17:00,2.4,,2.6,47,1013.1,,2,3.5
112,인천,2024-01-06 18:00,2,0,3.3,60,1013.6,,9,2.5
112,인천,2024-01-06 19:00,.7,,.8,84,1013.6,.8,9,1.9
112,인천,2024-01-06 20:00,.9,,1.4,88,1013.6,.8,9,1.8
112,인천,2024-01-06 21:00,.1,2.1,3.3,90,1013.8,1.5,7,1.3
112,인천,2024-01-06 22:00,0,,3.9,90,1014,1.5,4,1.4
112,인천,2024-01-06 23:00,-.8,,3.7,89,1014.6,1.5,0,1.3
112,인천,2024-01-07 00:00,-1.6,,3.7,79,1015.1,1.5,0,1.2
112,인천,2024-01-07 01:00,-2,,4.1,74,1015.1,1.5,0,.9
112,인천,2024-01-07 02:00,-2.4,,1.9,75,1015.1,1.5,0,.6
112,인천,2024-01-07 03:00,-2.4,,2.3,75,1015.6,1.5,0,.4
112,인천,2024-01-07 04:00,-2.6,,3,77,1015.8,1.5,0,.6
112,인천,2024-01-07 05:00,-2.9,,3.6,74,1015.8,1.5,1,.6
112,인천,2024-01-07 06:00,-3.6,,3.9,61,1016.3,1.5,0,.4
112,인천,2024-01-07 07:00,-4.1,,5.1,55,1017.1,1.5,0,.3
112,인천,2024-01-07 08:00,-4.5,,4,57,1017.9,1.5,0,0
112,인천,2024-01-07 09:00,-4.2,,3.6,54,1018.9,1.4,0,.1
112,인천,2024-01-07 10:00,-4,,4.5,46,1019.3,1.4,0,.1
112,인천,2024-01-07 11:00,-3.7,,5.1,48,1019.3,1.3,0,.2
112,인천,2024-01-07 12:00,-3.3,,4.1,51,1019.1,1.3,0,.6
112,인천,2024-01-07 13:00,-3.2,,4.2,52,1018.6,1,0,1.3
112,인천,2024-01-07 14:00,-3,,4.1,53,1018.4,.8,0,1.9
112,인천,2024-01-07 15:00,-3.3,,5.6,51,1018.3,.5,0,2.2
112,인천,2024-01-07 16:00,-3.4,,4.1,50,1018.5,.3,0,1.8
112,인천,2024-01-07 17:00,-4.3,,4.9,39,1018.7,.3,0,.5
112,인천,2024-01-07 18:00,-5,,5.2,46,1019.2,.3,0,.3
112,인천,2024-01-07 19:00,-5.4,,4.7,47,1019.5,.3,0,-.2
112,인천,2024-01-07 20:00,-6.2,,3.4,51,1020.1,.3,2,-.4
112,인천,2024-01-07 21:00,-6.8,,5.7,54,1020.5,.3,0,.1
112,인천,2024-01-07 22:00,-7.5,,3.4,59,1020.4,.3,0,-.4
112,인천,2024-01-07 23:00,-8,,3.8,61,1020.5,.3,0,-.6
112,인천,2024-01-08 00:00,-8.2,,2.6,60,1020.6,.3,0,-1
112,인천,2024-01-08 01:00,-8.4,,4.1,59,1020.2,.3,1,-.7
112,인천,2024-01-08 02:00,-8.7,,2.5,60,1020.4,.3,0,-.9
112,인천,2024-01-08 03:00,-8.9,,3.6,59,1020.4,.3,0,-.6
112,인천,2024-01-08 04:00,-9.3,,2.4,62,1020.1,.3,0,-1
112,인천,2024-01-08 05:00,-9.3,,2.6,58,1019.9,.3,0,-1.3
112,인천,2024-01-08 06:00,-9.6,,1.2,60,1020,.3,0,-1.3
112,인천,2024-01-08 07:00,-9.9,,.9,63,1020,.3,0,-1.4
112,인천,2024-01-08 08:00,-9.6,,1.5,65,1020,.3,0,-1.3
112,인천,2024-01-08 09:00,-7.1,,2.3,58,1020.4,.3,0,-1.3
112,인천,2024-01-08 10:00,-5.2,,2.1,49,1020.5,.3,0,-.6
112,인천,2024-01-08 11:00,-3.9,,.9,48,1020.5,.3,0,-.1
112,인천,2024-01-08 12:00,-3.4,,2,48,1019.6,.3,0,-.1
112,인천,2024-01-08 13:00,-2.9,,1.5,53,1018.8,.1,0,0
112,인천,2024-01-08 14:00,-1.4,,2.2,53,1018.1,,0,.1
112,인천,2024-01-08 15:00,-1.6,,2.2,57,1017.6,,8,.2
112,인천,2024-01-08 16:00,-2.1,,1.6,60,1017,,8,0
112,인천,2024-01-08 17:00,-2.3,,1.4,63,1017.3,,8,0
112,인천,2024-01-08 18:00,-2.8,,2.2,64,1017.1,,8,-.1
112,인천,2024-01-08 19:00,-3,,2,64,1016.8,,7,-.2
112,인천,2024-01-08 20:00,-3,,2.2,67,1016.3,,6,-.3
112,인천,2024-01-08 21:00,-2.6,,2.6,65,1016.1,,8,-.3
112,인천,2024-01-08 22:00,-2.6,,2.3,64,1015.7,,9,-.4
112,인천,2024-01-08 23:00,-2.3,,2.5,62,1015.6,,9,-.5
112,인천,2024-01-09 00:00,-2.5,,1.6,63,1015.6,,7,-.5
112,인천,2024-01-09 01:00,-2.3,,2,64,1014.8,,9,-.3
112,인천,2024-01-09 02:00,-1.8,,2.7,63,1014.2,,10,-.2
112,인천,2024-01-09 03:00,-1.5,,3.2,64,1013.6,,9,-.2
112,인천,2024-01-09 04:00,-1.1,,2.7,65,1012.9,,9,-.2
112,인천,2024-01-09 05:00,-.8,,2.9,70,1012.2,,9,-.2
112,인천,2024-01-09 06:00,-.9,0,3.1,75,1011.9,,9,-.1
112,인천,2024-01-09 07:00,-1,,2.8,81,1011.7,,9,-.1
112,인천,2024-01-09 08:00,-.9,,.8,84,1012,0,10,-.1
112,인천,2024-01-09 09:00,-1.1,.5,2.7,88,1012.2,.1,10,-.1
112,인천,2024-01-09 10:00,-.7,,1.4,88,1012.3,.6,10,0
112,인천,2024-01-09 11:00,-.4,,2.3,89,1012,1.2,10,-.1
112,인천,2024-01-09 12:00,.3,.6,1.8,90,1011.1,1.6,10,-.1
112,인천,2024-01-09 13:00,.6,,.8,89,1010.2,1.5,10,-.1
112,인천,2024-01-09 14:00,.8,,.7,90,1009.5,1.7,10,0
112,인천,2024-01-09 15:00,1,.6,.7,89,1009.6,1.4,10,0
112,인천,2024-01-09 16:00,1.1,,.5,89,1009.7,1.1,10,0
112,인천,2024-01-09 17:00,.6,,2.5,92,1009.8,.9,10,-.1
112,인천,2024-01-09 18:00,.6,.1,.4,91,1010,.9,10,0
112,인천,2024-01-09 19:00,.5,,2.3,92,1010.3,.9,10,0
112,인천,2024-01-09 20:00,.6,,1.3,91,1010.4,.9,10,0
112,인천,2024-01-09 21:00,.3,0,1.6,91,1010.6,.9,10,0
112,인천,2024-01-09 22:00,-.2,,2.5,93,1011.1,.9,10,0
112,인천,2024-01-09 23:00,-.2,,1.7,92,1011,.9,9,0
112,인천,2024-01-10 00:00,-.8,,3.1,91,1011,.9,0,-.1
112,인천,2024-01-10 01:00,-1.1,,3,90,1010.9,.9,0,-.1
112,인천,2024-01-10 02:00,-1.5,,2.5,88,1011.1,.9,3,-.2
112,인천,2024-01-10 03:00,-2.2,,3.8,86,1011.4,.9,0,-.3
112,인천,2024-01-10 04:00,-2.6,,3.7,84,1011.4,.9,0,-.4
112,인천,2024-01-10 05:00,-2.9,,3.4,85,1011.4,.9,0,-.1
112,인천,2024-01-10 06:00,-3.4,,3.3,86,1011.6,.9,0,-.4
112,인천,2024-01-10 07:00,-3.8,,3,87,1011.7,.9,0,-.7
112,인천,2024-01-10 08:00,-4.1,,2.7,88,1012.4,.9,2,-.4
112,인천,2024-01-10 09:00,-3.9,,1.6,87,1012.9,.9,6,-.3
112,인천,2024-01-10 10:00,-2.6,,1.5,87,1013.6,.9,7,-.1
112,인천,2024-01-10 11:00,-2.1,,1.7,88,1013.9,.9,9,-.1
112,인천,2024-01-10 12:00,-.8,,1.6,85,1013.1,.8,6,0
112,인천,2024-01-10 13:00,-.3,,1.2,82,1012.9,.5,8,0
112,인천,2024-01-10 14:00,.1,,1.6,79,1012.7,.4,7,0
112,인천,2024-01-10 15:00,1.2,,1.3,76,1012.6,.3,1,0
112,인천,2024-01-10 16:00,1,,2.4,75,1012.9,.3,1,0
112,인천,2024-01-10 17:00,0,,2.3,80,1012.6,.3,0,-.1
112,인천,2024-01-10 18:00,-.8,,2.9,84,1013.4,.3,0,-.1
112,인천,2024-01-10 19:00,-.9,,1.9,85,1013.7,.3,0,-.1
112,인천,2024-01-10 20:00,-1.3,,1.5,86,1013.7,.3,0,0
112,인천,2024-01-10 21:00,-1.4,,1.8,87,1013.6,.3,0,-.1
112,인천,2024-01-10 22:00,-1.6,,2.6,89,1013.3,.3,0,-.3
112,인천,2024-01-10 23:00,-1.8,,2.4,89,1013.1,.3,0,-.3
112,인천,2024-01-11 00:00,-1.8,,2,89,1013.2,.3,7,-.2
112,인천,2024-01-11 01:00,-1.9,,2.8,88,1013,.3,9,-.4
112,인천,2024-01-11 02:00,-2.3,,2.5,88,1012.8,.3,5,-.4
112,인천,2024-01-11 03:00,-2.7,,2.9,89,1012.5,.3,1,-.5
112,인천,2024-01-11 04:00,-2.5,,2.3,90,1012.7,.3,9,-.3
112,인천,2024-01-11 05:00,-2.4,,2,89,1012.5,.3,8,-.3
112,인천,2024-01-11 06:00,-2.1,,2.2,89,1011.7,.3,9,-.3
112,인천,2024-01-11 07:00,-1.8,,3,87,1011.5,.3,9,-.3
112,인천,2024-01-11 08:00,-1.7,,2.9,87,1011.3,.3,8,-.2
112,인천,2024-01-11 09:00,-1.1,,2.5,86,1011.3,.3,8,-.3
112,인천,2024-01-11 10:00,-.4,,3,83,1011,.3,6,-.1
112,인천,2024-01-11 11:00,2,,2,75,1010.6,.3,7,-.1
112,인천,2024-01-11 12:00,2.9,,3.5,73,1009.6,.3,3,0
112,인천,2024-01-11 13:00,3.6,,3.8,71,1009.1,.2,6,.1
112,인천,2024-01-11 14:00,4,,4.1,68,1008.5,,9,.5
112,인천,2024-01-11 15:00,4.6,,4.4,69,1007.8,,9,.7
112,인천,2024-01-11 16:00,4.7,,3.4,73,1007.7,,9,1.1
112,인천,2024-01-11 17:00,4.7,,2.8,74,1007.5,,9,.9
112,인천,2024-01-11 18:00,4.6,,3.4,77,1007.6,,3,.5
112,인천,2024-01-11 19:00,4.5,,4,78,1007.7,,5,.3
112,인천,2024-01-11 20:00,4.4,,3.5,80,1007.7,,8,.7
112,인천,2024-01-11 21:00,4.3,,3.5,81,1007.6,,2,.3
112,인천,2024-01-11 22:00,4,,3.9,84,1007.6,,0,.2
112,인천,2024-01-11 23:00,3.9,,2.5,84,1007.7,,7,.4
112,인천,2024-01-12 00:00,3.3,,2.7,79,1008,,9,.2
112,인천,2024-01-12 01:00,2.9,,2.6,77,1008.4,,1,.1
112,인천,2024-01-12 02:00,2.3,,3,81,1008.8,,0,.1
112,인천,2024-01-12 03:00,1.5,,3.1,86,1009.2,,0,.1
112,인천,2024-01-12 04:00,1.1,,3,85,1009.3,,0,0
112,인천,2024-01-12 05:00,.6,,2.3,81,1009.1,,0,-.1
112,인천,2024-01-12 06:00,.3,,2.3,86,1009.5,,0,-.1
112,인천,2024-01-12 07:00,0,,3.2,79,1010,,0,-.1
112,인천,2024-01-12 08:00,-.3,,2.6,78,1010.4,,0,-.2
