,체력,공격,방어,스피드,특수공격,특수방어,점수,승률,포켓몬_번호,사용한_기술의_위력,결과
1,29,48,16,39,38,38,14,0.0,347,45,0
2,64,49,14,26,24,28,70,32.0,565,34,0
3,27,36,21,26,16,20,77,29.0,408,39,0
4,39,41,38,39,37,17,57,33.0,585,0,0
5,69,33,31,26,26,20,96,41.0,840,40,0
6,89,46,17,19,28,29,76,41.0,412,27,0
7,79,38,39,28,32,28,75,34.0,845,6,0
8,86,47,18,23,11,39,29,24.0,178,27,0
9,35,38,31,24,24,31,50,67.0,1021,78,1
10,32,47,28,20,38,23,34,0.0,172,9,0
11,95,27,32,29,10,10,57,39.0,817,33,0
12,37,42,18,14,29,11,23,83.0,488,72,1
13,70,27,24,24,38,10,69,67.0,779,51,1
14,87,41,17,32,13,17,90,65.0,856,66,1
15,96,49,27,18,19,25,55,52.0,527,83,1
16,87,30,26,21,28,11,38,17.0,294,1,0
17,26,47,25,39,12,15,52,16.0,650,33,0
18,60,48,28,11,14,28,50,78.0,13,84,1
19,55,43,38,13,24,38,91,98.0,110,75,1
20,60,31,36,39,33,13,41,35.0,175,29,0
21,34,24,19,11,26,23,42,41.0,898,10,0
22,67,22,36,25,18,16,43,35.0,907,7,0
23,27,40,18,33,27,20,64,2.0,467,17,0
24,25,26,28,13,34,29,35,49.0,123,21,0
25,22,34,31,21,12,13,28,27.0,133,6,0
26,63,46,10,33,38,39,75,48.0,419,16,0
27,29,50,35,11,24,36,73,9.0,274,19,0
28,20,36,29,19,21,36,100,19.0,536,29,0
29,43,38,14,37,35,14,7,34.0,282,20,0
30,24,36,23,15,29,19,82,100.0,639,75,1
31,23,46,40,18,26,19,45,63.0,48,80,1
32,66,50,29,34,14,29,73,86.0,892,74,1
33,36,46,33,34,16,21,9,77.0,788,50,1
34,66,21,13,30,26,25,34,35.0,402,29,0
35,88,35,13,20,13,14,8,56.0,683,84,1
36,86,33,31,35,27,37,80,92.0,612,96,1
37,76,23,28,19,30,24,53,29.0,638,31,0
38,99,32,11,22,17,28,71,44.0,386,1,0
39,93,47,17,38,30,39,91,75.0,271,91,1
40,73,27,22,40,31,17,12,67.0,848,100,1
41,47,21,30,37,20,15,1,83.0,140,67,1
42,35,39,29,36,36,37,36,59.0,402,69,1
43,96,43,16,16,37,34,87,77.0,246,57,1
44,73,43,32,32,28,38,72,42.0,764,13,0
45,100,46,21,10,30,27,1,95.0,255,51,1
46,59,24,14,15,30,12,16,37.0,945,2,0
47,96,38,34,35,19,26,9,98.0,756,61,1
48,63,23,29,12,23,14,95,21.0,255,22,0
49,86,38,26,36,29,25,21,47.0,497,48,0
50,94,33,14,10,22,14,47,23.0,961,39,0
51,99,40,11,37,10,12,30,15.0,227,36,0
52,58,46,36,27,17,27,0,1.0,255,16,0
53,94,35,31,32,31,15,22,2.0,648,35,0
54,82,29,17,14,26,19,31,88.0,604,89,1
55,25,38,39,27,35,37,19,13.0,988,25,0
56,58,38,40,37,18,35,33,84.0,739,99,1
57,26,37,31,29,11,27,12,88.0,696,76,1
58,22,24,22,12,37,33,25,73.0,928,93,1
59,90,50,26,38,15,40,3,71.0,36,89,1
60,27,28,18,16,20,26,48,35.0,737,36,0
61,75,38,26,33,32,28,54,64.0,271,100,1
62,84,30,20,30,21,30,86,83.0,352,97,1
63,25,37,27,29,26,29,94,87.0,934,94,1
64,33,29,39,18,20,39,26,37.0,985,14,0
65,20,42,38,26,11,30,40,31.0,966,39,0
66,71,29,36,39,30,11,5,35.0,732,28,0
67,94,44,28,34,37,29,78,68.0,10,70,1
68,53,23,23,17,35,21,77,40.0,318,28,0
69,99,23,18,27,14,12,55,81.0,993,72,1
70,48,41,16,10,33,40,5,15.0,906,35,0
71,76,21,21,16,10,39,13,10.0,615,32,0
72,61,35,28,11,22,23,35,51.0,603,95,1
73,35,25,14,38,31,39,34,78.0,428,99,1
74,81,27,23,29,18,37,76,83.0,1001,61,1
75,27,38,12,20,20,39,52,41.0,946,9,0
76,83,34,29,29,20,12,54,32.0,594,42,0
77,21,48,20,18,30,11,67,92.0,1012,69,1
78,94,22,23,25,29,23,61,59.0,225,61,1
79,25,40,32,21,37,34,87,18.0,46,4,0
80,65,42,33,35,40,11,26,20.0,682,38,0
81,60,22,37,25,24,23,2,88.0,590,59,1
82,33,34,24,25,38,14,41,85.0,241,68,1
83,41,40,39,34,20,11,44,61.0,920,84,1
84,28,49,12,38,36,22,100,80.0,38,58,1
85,73,24,36,27,27,38,20,13.0,684,37,0
86,92,36,16,19,22,27,23,66.0,987,96,1
87,58,31,12,38,12,14,79,3.0,91,11,0
88,88,41,37,38,37,34,45,7.0,742,33,0
89,52,34,37,20,24,20,23,82.0,418,62,1
90,38,49,21,40,12,32,5,43.0,841,28,0
91,68,38,28,11,39,18,71,21.0,397,17,0
92,97,45,16,24,12,18,22,58.0,71,84,1
93,45,44,26,30,20,36,83,83.0,107,79,1
94,38,32,29,22,14,13,8,96.0,879,54,1
95,76,50,23,33,25,26,45,66.0,31,78,1
96,51,22,21,16,34,36,91,68.0,253,63,1
97,94,35,12,10,37,11,12,8.0,823,6,0
98,92,23,37,19,30,26,56,21.0,108,12,0
99,76,25,21,21,25,22,19,3.0,380,33,0
100,62,21,37,32,26,38,72,61.0,593,74,1
101,69,32,15,37,40,11,93,57.0,560,66,1
102,53,24,32,39,25,33,30,74.0,581,88,1
103,96,35,38,40,11,27,3,17.0,1023,14,0
104,46,26,31,17,21,27,77,4.0,115,11,0
105,89,47,26,10,23,11,95,94.0,828,72,1
106,75,34,10,30,25,25,93,60.0,177,80,1
107,78,35,31,38,24,13,82,73.0,555,73,1
108,28,47,37,19,35,19,67,90.0,1013,93,1
109,50,47,24,12,27,20,69,49.0,498,12,0
110,77,37,21,13,40,17,84,68.0,1003,77,1
111,75,43,27,31,27,28,62,5.0,868,18,0
112,52,50,36,32,33,40,0,100.0,376,79,1
113,91,27,40,29,29,19,43,8.0,361,45,0
114,36,31,18,31,20,40,43,12.0,868,19,0
115,89,25,14,30,32,29,59,30.0,861,16,0
116,21,37,28,40,30,17,95,18.0,691,46,0
117,51,30,14,16,33,24,59,6.0,1018,2,0
118,89,25,39,10,40,20,42,28.0,119,41,0
119,97,48,32,18,31,36,84,2.0,112,10,0
120,95,48,29,26,26,11,30,21.0,53,21,0
121,34,31,32,25,37,33,1,69.0,79,95,1
122,70,37,24,16,17,23,45,76.0,292,57,1
123,26,31,24,23,32,38,13,9.0,642,22,0
124,33,44,18,21,23,24,43,72.0,136,85,1
125,87,49,38,11,18,21,82,44.0,815,27,0
126,49,23,37,19,10,37,94,53.0,72,82,1
127,55,29,13,28,10,10,32,32.0,155,12,0
128,52,49,24,27,25,13,6,52.0,338,83,1
129,57,29,35,31,12,16,60,9.0,567,23,0
130,95,35,38,17,32,15,11,39.0,683,44,0
131,30,44,17,21,11,35,80,84.0,803,65,1
132,44,39,14,15,21,34,47,16.0,742,49,0
133,63,27,24,33,10,16,82,67.0,500,59,1
134,42,24,14,28,35,25,28,13.0,88,28,0
135,30,47,28,12,15,33,37,10.0,1009,47,0
136,36,40,25,39,20,39,26,63.0,547,74,1
137,53,36,38,36,39,21,51,36.0,714,47,0
138,56,47,18,26,25,31,59,60.0,79,53,1
139,44,28,19,38,20,33,89,2.0,109,32,0
140,24,50,25,31,35,26,32,70.0,739,80,1
141,48,23,37,22,34,26,68,73.0,239,64,1
142,76,43,29,12,30,22,78,15.0,316,45,0
143,81,43,28,22,36,34,8,1.0,202,41,0
144,32,34,23,35,28,15,81,50.0,477,74,1
145,91,41,25,32,20,11,82,56.0,218,93,1
146,49,26,16,26,15,13,57,51.0,33,98,1
147,76,25,25,15,25,40,94,19.0,657,47,0
148,63,20,25,29,32,37,90,76.0,700,80,1
149,77,45,39,39,32,28,22,0.0,383,1,0
150,52,20,12,13,38,31,66,26.0,311,11,0
151,93,40,34,14,38,39,3,94.0,753,77,1
152,33,49,38,11,23,35,88,74.0,1024,67,1
153,53,44,15,10,38,26,92,17.0,330,35,0
154,56,27,16,26,35,39,14,22.0,74,6,0
155,32,27,32,11,24,11,98,57.0,192,99,1
156,22,41,13,26,22,13,21,1.0,779,27,0
157,73,35,22,39,37,12,52,27.0,95,44,0
158,92,39,21,26,23,13,81,97.0,1009,59,1
159,57,25,23,24,28,16,87,93.0,777,64,1
160,20,29,30,29,18,10,88,44.0,998,20,0
161,96,44,27,38,23,23,65,45.0,66,26,0
162,79,45,12,12,18,30,80,11.0,851,40,0
163,27,48,39,29,34,18,71,28.0,749,19,0
164,63,23,30,23,10,21,74,43.0,436,49,0
165,80,43,22,13,14,17,20,94.0,113,79,1
166,65,41,37,35,29,25,36,9.0,652,16,0
167,61,35,37,36,13,26,12,83.0,951,59,1
168,42,45,23,11,14,39,98,39.0,41,6,0
169,53,33,38,38,33,16,20,5.0,53,46,0
170,49,26,16,24,10,15,53,78.0,391,59,1
171,42,44,34,13,19,29,10,55.0,1005,61,1
172,48,30,10,13,25,24,9,62.0,400,62,1
173,99,42,23,13,15,19,3,75.0,392,99,1
174,50,20,23,27,27,32,59,50.0,107,94,1
175,40,24,29,12,35,20,4,76.0,364,75,1
176,82,29,26,22,33,27,31,32.0,328,2,0
177,83,29,33,11,40,31,98,81.0,161,54,1
178,45,49,27,22,40,18,5,90.0,265,58,1
179,80,29,35,13,10,16,63,21.0,581,39,0
180,32,50,15,38,29,21,80,60.0,59,59,1
181,84,38,40,24,20,28,79,75.0,462,61,1
182,54,36,17,14,19,11,83,49.0,361,39,0
183,40,27,16,21,34,34,3,26.0,260,10,0
184,53,31,40,16,13,34,93,58.0,630,60,1
185,38,23,40,39,32,15,10,15.0,909,34,0
186,30,25,32,13,29,24,59,3.0,379,48,0
187,36,25,14,21,30,26,79,34.0,365,28,0
188,63,37,22,36,15,14,8,96.0,960,97,1
189,77,43,31,15,39,15,92,32.0,985,21,0
190,32,33,29,35,34,36,98,56.0,292,69,1
191,81,20,11,24,15,25,63,100.0,187,65,1
192,48,37,12,20,24,16,46,44.0,518,20,0
193,87,22,19,34,25,24,96,34.0,649,36,0
194,77,28,11,24,39,21,4,98.0,650,62,1
195,39,20,26,32,18,40,52,68.0,734,65,1
196,49,33,10,27,14,18,4,27.0,926,25,0
197,31,47,38,38,32,22,56,31.0,204,42,0
198,93,44,35,28,16,13,91,100.0,154,81,1
199,74,39,37,28,27,30,95,32.0,612,23,0
200,60,45,32,28,24,10,48,100.0,332,99,1
201,86,39,10,26,38,22,37,30.0,594,9,0
202,56,47,31,33,26,31,100,84.0,349,76,1
203,41,40,38,20,29,11,38,7.0,628,49,0
204,71,21,27,17,33,16,59,86.0,61,95,1
205,100,20,10,33,35,30,27,77.0,554,59,1
206,40,30,29,28,27,33,85,93.0,801,76,1
207,32,31,23,40,35,34,80,70.0,778,56,1
208,83,46,18,16,35,21,27,62.0,384,86,1
209,95,44,26,17,17,33,17,76.0,749,85,1
210,42,26,27,18,16,15,5,35.0,148,6,0
211,68,38,37,20,18,37,13,34.0,347,42,0
212,51,49,22,22,18,40,48,24.0,832,3,0
213,46,45,27,12,38,13,18,17.0,632,23,0
214,95,29,22,26,36,18,77,83.0,170,69,1
215,22,35,37,35,16,27,44,84.0,4,69,1
216,49,22,15,15,34,26,94,77.0,719,99,1
217,32,35,36,29,16,24,34,71.0,960,58,1
218,71,39,13,22,24,19,12,6.0,329,42,0
219,67,47,35,30,25,39,20,80.0,152,97,1
220,97,36,20,23,29,36,24,4.0,9,3,0
221,76,35,35,12,22,34,39,70.0,573,52,1
222,90,26,28,38,14,15,53,98.0,588,94,1
223,34,29,17,39,33,22,9,37.0,279,13,0
224,100,50,11,37,10,20,29,76.0,172,76,1
225,99,21,39,24,35,16,11,4.0,424,28,0
226,89,28,13,27,36,24,68,1.0,310,32,0
227,41,35,18,13,40,20,24,8.0,977,17,0
228,40,27,31,37,35,15,59,67.0,991,61,1
229,68,36,40,31,40,32,25,74.0,396,54,1
230,24,46,13,38,38,20,7,63.0,621,58,1
231,24,49,33,20,40,16,56,7.0,184,34,0
232,98,48,25,15,40,39,6,13.0,320,32,0
233,53,25,28,25,14,36,39,2.0,338,12,0
234,22,32,31,14,29,26,57,34.0,503,21,0
235,100,24,16,18,24,14,44,4.0,789,2,0
236,20,50,11,26,29,14,50,25.0,866,36,0
237,33,34,22,40,30,19,63,14.0,998,39,0
238,42,49,30,40,38,27,60,80.0,935,95,1
239,66,42,10,21,22,14,72,12.0,360,26,0
240,46,45,38,30,12,10,49,59.0,67,85,1
241,82,36,31,18,16,31,24,81.0,282,72,1
242,34,26,16,31,34,17,100,75.0,34,64,1
243,32,48,14,36,10,32,77,65.0,540,66,1
244,73,42,23,22,19,40,18,94.0,653,57,1
245,92,20,27,16,28,21,59,50.0,225,95,1
246,62,45,30,21,39,13,77,75.0,600,86,1
247,69,48,31,17,34,27,65,46.0,20,23,0
248,67,40,40,31,22,30,44,19.0,559,22,0
249,63,41,10,16,12,21,35,42.0,259,15,0
250,37,42,39,34,16,30,67,96.0,608,51,1
251,85,24,15,40,36,40,55,28.0,1006,16,0
252,38,44,20,38,34,27,18,81.0,159,85,1
253,32,24,26,20,17,31,48,65.0,64,90,1
254,33,42,40,22,39,36,92,20.0,553,49,0
255,40,50,24,14,15,22,36,73.0,371,70,1
256,46,36,35,27,12,28,96,83.0,445,99,1
257,93,43,10,36,32,19,79,54.0,86,58,1
